poste,lieu,entreprise,salaire,note,description
Technicien installateur H/F,Colomiers,CAPITOL PHARMA,2 k € (fourni par l’employeur),Non noté,"Formation du patient ou de son entourage à l'utilisation du matériel. Nous vous proposons un poste varié dans une entreprise dynamique et qui s’adresse aussi…&hellip;
Compétences: Expérience de bricoleur"
Chargé de Gestion Assistance Clients EDI TURBO - F/H - Nanterre - CDD - Mission,Nanterre,Groupe Crédit Coopératif,Non renseigné,"4,0","Au sein de l’unité Assistance Client EDI rattachée au Département Flux & Moyens de paiement (MPM) de la Direction des Opérations, vous prenez en charge le…&hellip;
Compétences: Opérations bancaires"
Vendeur(se) matériel montagne polyvalent H/F,La Roche,SPORT 2000 Amancy,"12,50 € - 13,50 € Par heure (fourni par l’employeur)",Non noté,"Garant(e) du bon accueil de nos clients, vous aimée le contact client, vous êtes fiable et ordonnée. Type d'emploi : Temps plein, CDI.&hellip;
Compétences: Vente, Service client, Encaissement, Manipulation d'espèces, Vente au détail"
Employé polyvalent en restauration H/F,Anglet,Le kebab d’elio,"11,88 € - 11,94 € Par heure (fourni par l’employeur)",Non noté,"Accueillir les clients avec le sourire, courtoisie et professionnalisme. Une première expérience en restauration est un plus, mais *débutant(e)s accepté(e)s* !&hellip;
Compétences: Vente, Service client, Encaissement, HACCP, Service en restauration"
Conducteur de ligne H/F,Bousbecque,IZIWORK AR,"12,00 € - 15,00 € Par heure (fourni par l’employeur)","3,6",Approvisionner la machine en matières premières. Surveiller la ligne de production et s’assure que les paramètres définis restent stables.&hellip;
EXCELLENT - Manager d’équipe EC & Audit h/f,Givors,ABDX CONSULTING,50 k € - 60 k € (fourni par l’employeur),Non noté,"Cabinet comptable: 5 ans (Requis). Dans le cadre du développement de son pôle Expertise Comptable, mon client recherche pour son bureau à Givors, *un manager…&hellip;
Compétences: Sens de l'organisation"
Cariste manutentionnaire H/F,France,L.B.F.,25 k € - 27 k € (fourni par l’employeur),"4,4","Nous te garantissons *un processus de recrutement efficace* afin de t'accueillir chez L.B.F. au plus vite ! ⏳. Tu es titulaire d'un CACES 1,3,5 (obligatoire).&hellip;
Compétences: Logistique, Chariot élévateur, Expérience administrative, Expérience en entrepôt, Bureautique"
OUVRIER(E) AGRICOLE / GAVEUR/GAVEUSE DE CANARD(H/F),Saint-Priest,Ferme de Beauregard,2 k € (fourni par l’employeur),Non noté,"Charger les volailles dans des caisses pour l'abattoir,. Travailler dans l'abattoir (plumer les volailles, nettoyer les postes de travail),.&hellip;
Compétences: Expérience en mécanique, Amélioration des processus, Équipements agricoles"
Technicien Bureau d'Etudes H/F,Blanquefort,MANY Bordeaux,35 k € (fourni par l’employeur),Non noté,"Diplôme technique dans le domaine de l'ingénierie ou de l'industrie. Collecter et analyser des données pertinentes pour optimiser les processus.&hellip;
Compétences: Menuiserie, Schémas, CAD, Sens de l'organisation, Analyse des cause fondamentales"
Manager McDonald’s H/F,Roissy,Mcdonalds Roissy CDG Terminal 2A,23 k € - 24 k € (fourni par l’employeur),Non noté,"Vous avez, de préférence, un diplôme Bac +2 minimum avec une spécialité en commerce ou management. Pas besoin d'un long CV pour postuler chez McDonald's, nous…&hellip;
Compétences: Expérience en supervision, Gestion d'équipe, Service en restauration, Restauration, Management en restauration"
Agent de Transit (F/H),Pulversheim,Heppner SAS,Non renseigné,"3,5","Issu(e) d'une formation supérieure spécialisée en transport international, vous possédez une expérience confirmée en opération aérienne (2 ans minimum).&hellip;
Compétences: Service client, Anglais"
Stage Septembre et Octobre 2025 tourisme/hôtellerie de plein air (2 mois),Cormaranche,Refuge Insolite en Bugey,Non renseigné,Non noté,"Analyse de la communication actuelle de notre lieu et être force de proposition(s) pour des pistes de développement.&hellip;
Compétences: Français, Hôtellerie, Service client, Anglais, Compétences en communication"
TEMPS PARTIEL_2h/jour_ Nuit – Complément salaire – Pornic (44210),Pornic,Ouest Distribution & Diffusion,"11,88 € Par heure (fourni par l’employeur)",Non noté,"Utiliser votre véhicule personnel (indemnité kilométrique versée). Permis B et véhicule indispensables. 2h par jour, horaires 4h30-7h30 (ou 8h30 le dimanche).&hellip;
Compétences: Sens de l'organisation"
Chef de brigade H/F-CDI-GRAND HOTEL ROI RENE AIX EN PROVENCE,Aix,Grand Hôtel Roi René,2 k € (fourni par l’employeur),"3,9","Expérience solide en réception hôtelière, idéalement en 4\* avec forte activité. Encadrer l’équipe de réception sur le terrain. 10 weekends par an garantis.&hellip;
Compétences: Français, Hôtellerie, Service client, Anglais, Expérience en supervision"
Ouvrier paysagiste H/F,Saint-Jean,Les jardins du monde,"11,65 € - 14,71 € Par heure (fourni par l’employeur)",Non noté,"Assurer le nettoyage et le rangement du matériel utilisé. Utiliser des outils manuels pour effectuer des tâches variées (bêchage, binage, etc.).&hellip;
Compétences: Construction et rénovation, Outils manuels"
Student Job Childcare (M/F),Paris,Momji,Non renseigné,"3,9","No minimum level of French required,. Improve your skills with our approach developed by educational experts in language acquisition.&hellip;
Compétences: Anglais"
Business developer - H/F,Échirolles,Atos,40 k € - 50 k € (fourni par l’employeur),"3,5","Détection et qualification des leads projets et compétences de tes clients/prospects, à court et long terme,. Animation et gestion du portefeuille existant,.&hellip;"
CDI – Ingénieur examens métallographiques / MEB - H/F,Nantes,Naval Group,Non renseigné,"4,0","Nous sommes un acteur international dans l'industrie navale de défense depuis plus de 400 ans, repoussant continuellement les limites pour construire l'avenir.&hellip;
Compétences: Sens de l'organisation"
Directeur(trice) de Magasin Outlet Corbeil Essonnes,Corbeil-Essonnes,Maisons du Monde,Non renseigné,"3,4","Durable, car engagés dans des causes environnementales et citoyennes, nous prônons l'égalité des chances et le développement de chacun à l'ouverture au monde.&hellip;
Compétences: Service client, Gestion de point de vente, Gestion de vente au détail"
Chargé d'indemnisation AUTO (F/H) - LENS - CDI,Lens,BPCE Assurances IARD,Non renseigné,"4,0","Procéder à l’indemnisation selon le contexte (analyse des contrats et conventions, …). En identifiant des axes d'amélioration et d'optimisation des processus.&hellip;
Compétences: Service client"
Ambassadeur - Multimédia H/F,Paris,Sarawak France,"13,00 € Par heure (fourni par l’employeur)","4,7","Vous savez orienter le client et être force de proposition. Sarawak est une société de Marketing Opérationnel qui accompagne depuis plus de 30 ans ses clients (…&hellip;
Compétences: Vente"
Vendeur épicerie (H/F),Saint-Julien,BioFrais,Non renseigné,"3,3","Les bons produits, les produits de l’épicerie et le non-alimentaire, les produits bio,. Le conseil auprès des clients.&hellip;"
Opérateur de production H/F,Strasbourg,EURO T.V.S,Non renseigné,"3,5","Port de charges : de 5 à 10 kg. Au sein du service production d'une société de traitement de documents, vous serez chargé de la gestion des documents.&hellip;
Compétences: Bureautique"
Vendangeur H/F,Saint-Sernin,DOMAINE ANDRE DELORME,"11,88 € - 11,90 € Par heure (fourni par l’employeur)","4,5",Café d'accueil et verre de l'amitié offerts.*. Démarrage prévu en début septembre 2025. Pour une durée de 15 jours environ.*.&hellip;
Téléconseiller H/F,Nantes,MGEN,25 k € (fourni par l’employeur),"3,4",8 mois et 3 semaines. Votre aisance relationnelle pour faire face à tout type de situation avec nos adhérents.&hellip;
Runner H/F (CDD),Beaucouzé,EphemeraGroup,2 k € (fourni par l’employeur),"5,0","Si tu as l’âme créative, l’envie de casser les codes et de faire partie d’une équipe dynamique et ambitieuse, alors EPHEMERA t'attend.&hellip;
Compétences: Service en restauration, Restauration"
Apprenti(e) Management des contrats Export F/H,Le Plessis-Robinson,MBDA France,Non renseigné,"4,5","Intervenez en support des activités de formation à destination des Export Contract Management ; Intervenez en support du suivi des activités opérationnelles.&hellip;
Compétences: Anglais, Microsoft Office"
Project Assistant Internship – 4 to 6 months H/F,Lyon,YUPULSE,Non renseigné,Non noté,"Adapt communication based on the profile of your interlocutors (international teams, C-level executives). Ability to adapt your communication style depending on…&hellip;
Compétences: Jira, Anglais, Confluence"
Technicien de maintenance / Technicien fluvial H/F,Saint-Gilles,LE BOAT,2 k € (fourni par l’employeur),"3,1","Maîtrise de l'anglais et du français (des langues supplémentaires telles que l'espagnol, l'italien, le néerlandais ou l'allemand sont un bonus).&hellip;
Compétences: Français, Espagnol, Conception Mécanique, Anglais, Électricité"
Commercial H/F TERRAIN,Villejuif,DEROCHE VILLEJUIF,Non renseigné,Non noté,"Vous assurez le suivi des commandes et du compte client. Interlocuteur privilégié, vous assurez la prise de commande et répondez aux différentes demandes des…&hellip;
Compétences: Vente, Anglais, Prospection"
Manager project office (H/F),Chartres,Novo Nordisk,Non renseigné,"4,2","Vous disposez d’un minimum de 5 ans d’expérience dans une fonction similaire et justifiez d’une expérience significative en management de projet sur des projets…&hellip;
Compétences: Anglais, Esprit d'analyse, Gestion de projet, Agile"
Responsable département ravalement F/H,Paris,Groupe Eddifis,65 k € (fourni par l’employeur),Non noté,"Organiser le temps de travail de l'équipe pour optimiser l'efficacité opérationnelle; Gérer les opérations d'achats, la négociation et veiller à…&hellip;
Compétences: Expérience en gestion d'équipe, Vente, Service client, Gestion d'équipe, Budgétisation"
Serveur (H/F),Saint-Clément,relais du soanan,2 k € (fourni par l’employeur),Non noté,"Maintenir la propreté de l'espace de travail et des tables. Collaborer avec l'équipe en cuisine pour garantir un service fluide.&hellip;
Compétences: Service, Hôtellerie, Service client, Anglais, Service en restauration"
Technicien SAV- Maintenance Portes automatiques H/F,Ambarès-et-Lagrave,LACROIX,2 k € (fourni par l’employeur),Non noté,"Former et conseiller les utilisateurs sur l’utilisation des équipements. Vous êtes à l’aise avec les relations clients : vous savez comprendre leurs besoins,…&hellip;
Compétences: Expérience en mécanique, Service client, Électricité, Soudage, Maintenance industrielle"
Commercial GMS expérimenté Produits Italiens H/F,Val-d'Oise,Distriplus,2 k € - 3 k € (fourni par l’employeur),"3,6","Ouverture de compte chez les magasins Leclerc, Intermarché, U. Vous êtes organisé(e), autonome, dynamique, avec force de conviction.&hellip;
Compétences: Vente, Merchandising"
MÉTÉOROLOGISTE H/F,Rennes,Armée de l'Air et de l'Espace,2 k € - 3 k € (fourni par l’employeur),"4,1","Vous aurez deux formations, une première de 15 semaines à l'EFSOAA, l'Ecole de Formation des Sous-Officiers de l'Armée de l'Air et de l'Espace à Rochefort,…&hellip;
Compétences: Anglais"
Chef de Projet IA & Digital (H/F),Soyons,NATURAL ORIGINS,Non renseigné,Non noté,"Participer à l’identification des cas d’usage IA avec les équipes métiers. Explorer les possibilités de LLMs (modèles de langage type ChatGPT) pour créer des…&hellip;
Compétences: Bases de données, Esprit d'analyse, Gestion de projet, Sens de l'organisation, Intelligence artificielle"
Commercial,Reims,Espace Club,2 k € - 3 k € (fourni par l’employeur),Non noté,"Être force de proposition (développement commercial, animations, réseaux sociaux, ...). Depuis 1981, *Espace Club* est une référence à Reims dans le domaine du…&hellip;
Compétences: Vente, Service client, Services aux visiteurs, Compétences en communication"
Chef de Réception / Assistant(e) de Direction H/F,La Guérinière,PLN - HOTEL PUNTA LARA,3 k € (fourni par l’employeur),Non noté,"Vous placez le client au centre de votre activité. Vous informez les clients sur les prestations offertes par l'hôtel. Bac +2 (BTS, DUT, DEUG) (Optionnel).&hellip;
Compétences: Français, Hôtellerie, Service client, Anglais, Expérience en supervision"
Chef de projet informatique H/F,La Ricamarie,123 Elec,40 k € - 45 k € (fourni par l’employeur),Non noté,"Piloter des projets SI fonctionnels de A à Z (planning, budget, qualité). Coordonner les échanges entre utilisateurs, équipes DSI et prestataires.&hellip;
Compétences: Jira, Trello, Achats"
Employé de blanchisserie H/F,Reignier-Ésery,L'Artisan Blanchisseur,2 k € (fourni par l’employeur),Non noté,Nous sommes à la recherche d'employé(e) polyvalent(e)H/F pour rejoindre notre équipe au sien de la blanchisserie. Salaire brut : 2086.46 Type d'emploi :…&hellip;
Femme de chambre (CDD) H/F,Ballan-Miré,BALLAN EXPLOITATION SAS,25 k € (fourni par l’employeur),Non noté,"Veiller au confort des clients en s’assurant que tout soit parfait dans chacune des unités d’hébergement du Domaine ; Un contrat à durée déterminée ;&hellip;
Compétences: Français, Hôtellerie, Anglais, Nettoyage"
Chargé de clientèles H/F B to B,Heillecourt,SOS TOITURES LORRAINE - ATTILA,2 k € (fourni par l’employeur),Non noté,"Suivi gestion de la communication des réseaux sociaux. Mise en place et organisation des fiches produits et services. Devis et facturation, rapports clients.&hellip;
Compétences: Prospection commerciale, Service client, Administration des ventes, Microsoft Office, Expérience administrative"
